1/12/2017 10:44,model=SM-G950F,,,,2,Helen.,a0:ab:1b:57:cd:42,10,-79,U2I8L1M0X42,54:64:d9:66:29:ef,11,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:43,model=SM-G950F,,,,2,urigil1,a0:ab:1b:5d:c2:60,10,-90,INGENEO,cc:b2:55:e8:4c:e6,6,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:43,model=SM-G950F,,,,2,ELDAD,10:0d:7f:80:17:80,11,-78,Eldad_2EX,80:1f:02:e8:b9:cc,11,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:43,model=SM-G950F,,,,1,DIR-825-4f83,80:26:89:0d:4f:84,1,-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:43,model=SM-G950F,,,,1,DIR-825-4f83,80:26:89:0d:4f:84,1,-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:43,model=SM-G950F,,,,1,dobry2016,6c:b0:ce:ac:32:9b,1,-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:43,model=SM-G950F,,,,1,Bezeq Free GA32E3,52:b0:ce:ac:32:98,1,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:43,model=SM-G950F,,,,1,KarvatB0.5,14:ae:db:cc:ed:6d,48,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:43,model=SM-G950F,,,,1,angela,80:1f:02:f5:d8:e8,1,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:43,model=SM-G950F,,,,1,Efrat,b4:ee:b4:86:c0:f1,11,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:42,model=SM-G950F,,,,1,HOTBOX-D88A,c0:ac:54:f5:b4:c9,1,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:46,model=SM-G950F,,,,1,love,14:ae:db:58:73:75,1,-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:46,model=SM-G950F,,,,3,DIR-825-4f83,80:26:89:0d:4f:84,1,-85,Mevohot_3,60:e3:27:e8:41:e8,11,-93,Wifi,74:44:01:39:09:86,11,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:46,model=SM-G950F,,,,3,Orit,c4:a8:1d:12:7d:4c,6,-80,DIRECT-CC-HP DeskJet 4670 series,70:5a:0f:b2:64:cd,6,-89,Lahav,08:3e:5d:5c:72:5e,11,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:46,model=SM-G950F,,,,1,dobry2016_5,6c:b0:ce:ac:32:9c,60,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:46,model=SM-G950F,,,,1,HOTBOX-1A14,00:07:26:4f:07:ae,6,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:46,model=SM-G950F,,,,2,DIR-825-4f83,80:26:89:0d:4f:84,1,-74,Miller,00:78:9e:fa:0e:5c,1,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:46,model=SM-G950F,,,,1,Oded 2.4Ghz,00:12:2a:e1:6c:48,11,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:46,model=SM-G950F,,,,3,Oded,14:cc:20:76:b8:2a,11,-92,HP-Print-AF-Officejet Pro 6830,28:80:23:40:5f:af,6,-94,TP-LINK_76C08E,14:cc:20:76:c0:8e,1,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:46,model=SM-G950F,,,,2,Oded 5Ghz,00:12:2a:e1:6c:4c,48,-82,Motti11,a4:2b:b0:d4:55:36,6,-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:45,model=SM-G950F,,,,1,UFI_UF230_B3F,00:0b:6c:4d:1b:3f,6,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2017 10:45,model=SM-G950F,,,,3,Candan,c0:ff:d4:7b:82:30,1,-91,  InnovationEndeavors,74:da:38:a9:1c:df,2,-92,BezeqFree,06:ae:db:48:af:4d,9,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
